問い合わせID,受付日時,初回応答日時,解決日時,チャネル,製品,カテゴリ,中分類,問い合わせ種別,優先度番号,優先度,顧客区分,ステータス番号,ステータス,フェーズ番号,フェーズ,エスカレ有無,再オープン有無,対応チーム,担当者,満足度,件名,自由記述
INQ-202404-00033,2024-04-04 16:10,2024-04-04 22:08,2024-04-06 06:08,Web,スマート勤怠,使い方,権限設定,クレーム,2,中,個人事業主,4,解決,4,解決,0,0,品質保証,渡辺,2,権限設定について,何度も同じ案内をされた
INQ-202405-00034,2024-05-02 12:27,2024-05-02 16:14,2024-05-03 15:14,チャット,スマート勤怠,仕様確認,対応環境,要望,1,高,個人事業主,5,クローズ,5,完了,0,1,品質保証,渡辺,5,同時接続数の上限は,業務効率化のため必要
INQ-202405-00035,2024-05-30 14:30,2024-05-30 19:26,2024-06-01 20:26,メール,クラウド経費,仕様確認,API・連携,要望,1,高,個人事業主,5,クローズ,5,完了,0,0,技術サポート,高橋,3,同時接続数の上限は,次期アップデートに期待
INQ-202405-00036,2024-05-16 11:51,2024-05-16 18:24,2024-05-18 01:24,電話,スマート勤怠,仕様確認,API・連携,クレーム,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,4,同時接続数の上限は,説明が分かりにくい
INQ-202405-00037,2024-05-01 10:14,2024-05-01 14:11,2024-05-03 01:11,メール,スマート勤怠,仕様確認,API・連携,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,伊藤,3,APIの有無について,丁寧に教えてほしい
INQ-202405-00038,2024-05-24 14:48,2024-05-24 17:24,2024-05-25 23:24,チャット,スマート勤怠,仕様確認,API・連携,要望,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,田中,3,APIの有無について,業務効率化のため必要
INQ-202405-00039,2024-05-09 09:03,2024-05-09 09:34,2024-05-10 18:34,メール,クラウド経費,使い方,データ移行,質問,2,中,大企業,4,解決,4,解決,0,0,一次窓口,佐藤,5,初期設定の方法を知りたい,急ぎで確認したい
INQ-202405-00040,2024-05-16 10:40,2024-05-16 12:40,2024-05-19 07:40,チャット,スマート勤怠,請求,プラン変更,質問,2,中,大企業,5,クローズ,5,完了,0,1,一次窓口,鈴木,4,契約プランの変更,マニュアルの場所を知りたい
INQ-202405-00041,2024-05-14 11:39,2024-05-14 11:45,2024-05-16 16:45,電話,クラウド経費,使い方,操作方法,クレーム,1,高,大企業,4,解決,4,解決,0,0,一次窓口,鈴木,4,CSVの取込手順が不明,対応が遅い
INQ-202405-00042,2024-05-08 11:18,2024-05-08 13:18,2024-05-09 09:18,チャット,スマート勤怠,仕様確認,API・連携,要望,2,中,中小,4,解決,4,解決,0,1,品質保証,渡辺,5,対応ブラウザを確認したい,次期アップデートに期待
INQ-202405-00043,2024-05-06 16:38,2024-05-06 17:24,2024-05-06 23:24,チャット,クラウド経費,使い方,初期設定,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,権限設定について,急ぎで確認したい
INQ-202405-00044,2024-05-01 10:43,2024-05-01 18:37,2024-05-03 06:37,チャット,クラウド経費,要望,通知改善,要望,3,低,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,2,通知の細分化,他社にはある機能
INQ-202405-00045,2024-05-03 13:26,2024-05-03 14:16,2024-05-05 07:16,メール,クラウド経費,要望,UI改善,質問,2,中,中小,4,解決,4,解決,0,0,一次窓口,鈴木,3,ダークモード対応の希望,マニュアルの場所を知りたい
INQ-202405-00046,2024-05-27 18:42,2024-05-28 02:41,2024-05-29 15:41,Web,スマート勤怠,使い方,権限設定,クレーム,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,4,初期設定の方法を知りたい,対応が遅い
INQ-202405-00047,2024-05-21 14:15,2024-05-21 15:38,2024-05-24 07:38,チャット,スマート勤怠,使い方,データ移行,質問,3,低,個人事業主,5,クローズ,5,完了,0,0,一次窓口,田中,5,権限設定について,急ぎで確認したい
INQ-202405-00048,2024-05-14 16:30,2024-05-14 16:36,2024-05-16 05:36,電話,スマート勤怠,不具合,表示崩れ,要望,3,低,大企業,4,解決,4,解決,1,0,一次窓口,鈴木,4,データが保存されない,他社にはある機能
INQ-202405-00049,2024-05-28 10:34,2024-05-28 17:16,2024-05-30 22:16,メール,スマート勤怠,仕様確認,セキュリティ,質問,1,高,大企業,4,解決,4,解決,0,0,技術サポート,伊藤,1,APIの有無について,急ぎで確認したい
INQ-202405-00050,2024-05-13 18:50,2024-05-14 02:41,2024-05-16 13:41,チャット,クラウド経費,不具合,ログイン不可,質問,2,中,個人事業主,4,解決,4,解決,0,1,一次窓口,佐藤,1,ログインできない,丁寧に教えてほしい
INQ-202405-00051,2024-05-16 16:16,2024-05-16 20:30,2024-05-19 18:30,メール,クラウド経費,仕様確認,API・連携,要望,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,鈴木,1,APIの有無について,業務効率化のため必要
INQ-202405-00052,2024-05-30 11:14,2024-05-30 14:30,2024-06-01 22:30,チャット,スマート勤怠,使い方,初期設定,質問,3,低,中小,4,解決,4,解決,0,0,一次窓口,田中,2,権限設定について,マニュアルの場所を知りたい
INQ-202405-00053,2024-05-06 10:05,2024-05-06 17:50,2024-05-09 05:50,メール,スマート勤怠,仕様確認,セキュリティ,障害報告,2,中,大企業,5,クローズ,5,完了,1,0,一次窓口,佐藤,5,同時接続数の上限は,至急復旧してほしい
INQ-202405-00054,2024-05-10 14:27,2024-05-10 17:03,2024-05-10 20:03,チャット,スマート勤怠,使い方,データ移行,要望,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,佐藤,5,CSVの取込手順が不明,次期アップデートに期待
INQ-202405-00055,2024-05-28 15:47,2024-05-28 21:39,2024-05-29 15:39,Web,クラウド経費,仕様確認,API・連携,要望,3,低,大企業,5,クローズ,5,完了,0,1,一次窓口,田中,4,APIの有無について,次期アップデートに期待
INQ-202405-00056,2024-05-10 16:02,2024-05-10 23:54,2024-05-12 10:54,メール,クラウド経費,使い方,権限設定,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,伊藤,5,CSVの取込手順が不明,急ぎで確認したい
INQ-202405-00057,2024-05-24 16:51,2024-05-24 20:18,2024-05-24 22:18,電話,クラウド経費,使い方,操作方法,要望,3,低,中小,4,解決,4,解決,0,0,品質保証,渡辺,3,CSVの取込手順が不明,業務効率化のため必要
INQ-202406-00058,2024-06-24 15:37,2024-06-24 16:14,2024-06-27 04:14,メール,クラウド経費,不具合,表示崩れ,質問,3,低,中小,4,解決,4,解決,0,0,一次窓口,鈴木,5,ログインできない,丁寧に教えてほしい
INQ-202406-00059,2024-06-10 18:07,2024-06-10 19:31,2024-06-13 01:31,電話,クラウド経費,使い方,データ移行,質問,2,中,個人事業主,5,クローズ,5,完了,0,1,一次窓口,鈴木,4,権限設定について,急ぎで確認したい
INQ-202406-00060,2024-06-12 11:28,2024-06-12 18:47,2024-06-15 05:47,Web,クラウド経費,使い方,権限設定,質問,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,田中,2,権限設定について,マニュアルの場所を知りたい
INQ-202406-00061,2024-06-26 12:08,2024-06-26 17:18,2024-06-26 18:18,チャット,スマート勤怠,請求,支払方法,質問,3,低,大企業,5,クローズ,5,完了,0,1,一次窓口,田中,3,請求書の再発行依頼,マニュアルの場所を知りたい
INQ-202406-00062,2024-06-26 10:42,2024-06-26 17:08,2024-06-27 02:08,Web,スマート勤怠,不具合,表示崩れ,クレーム,2,中,大企業,5,クローズ,5,完了,1,0,一次窓口,佐藤,4,ログインできない,説明が分かりにくい
INQ-202406-00063,2024-06-17 11:39,2024-06-17 12:39,2024-06-20 03:39,電話,クラウド経費,要望,通知改善,質問,1,高,中小,5,クローズ,5,完了,0,0,品質保証,渡辺,4,エクスポート機能がほしい,急ぎで確認したい
INQ-202406-00064,2024-06-20 10:08,2024-06-20 16:12,2024-06-21 07:12,電話,クラウド経費,不具合,保存エラー,質問,2,中,中小,4,解決,4,解決,1,0,一次窓口,佐藤,5,データが保存されない,丁寧に教えてほしい
INQ-202406-00065,2024-06-14 13:14,2024-06-14 20:24,2024-06-15 07:24,メール,クラウド経費,不具合,ログイン不可,質問,2,中,大企業,4,解決,4,解決,0,0,品質保証,渡辺,2,ログインできない,マニュアルの場所を知りたい
INQ-202406-00066,2024-06-19 18:35,2024-06-19 22:59,2024-06-21 02:59,メール,スマート勤怠,使い方,データ移行,要望,3,低,中小,4,解決,4,解決,0,0,技術サポート,伊藤,2,初期設定の方法を知りたい,他社にはある機能
INQ-202406-00067,2024-06-28 14:07,2024-06-28 19:48,2024-06-30 06:48,チャット,クラウド経費,請求,支払方法,障害報告,2,中,個人事業主,5,クローズ,5,完了,0,0,技術サポート,高橋,1,契約プランの変更,至急復旧してほしい
INQ-202406-00068,2024-06-06 16:36,2024-06-06 22:50,2024-06-08 16:50,チャット,スマート勤怠,仕様確認,対応環境,質問,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,田中,5,対応ブラウザを確認したい,丁寧に教えてほしい
INQ-202406-00069,2024-06-05 10:39,2024-06-05 11:40,2024-06-07 00:40,電話,スマート勤怠,不具合,動作が遅い,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,4,画面が真っ白になる,丁寧に教えてほしい
INQ-202406-00070,2024-06-13 18:03,2024-06-13 21:22,2024-06-16 18:22,電話,スマート勤怠,使い方,操作方法,要望,1,高,大企業,4,解決,4,解決,0,0,一次窓口,佐藤,4,権限設定について,他社にはある機能
INQ-202406-00071,2024-06-03 12:47,2024-06-03 15:38,2024-06-04 13:38,電話,スマート勤怠,要望,UI改善,クレーム,3,低,中小,5,クローズ,5,完了,0,0,一次窓口,田中,5,通知の細分化,説明が分かりにくい
INQ-202406-00072,2024-06-03 12:06,2024-06-03 13:09,2024-06-06 09:09,電話,クラウド経費,不具合,動作が遅い,要望,2,中,中小,5,クローズ,5,完了,1,0,技術サポート,高橋,4,データが保存されない,業務効率化のため必要
INQ-202406-00073,2024-06-27 10:06,2024-06-27 17:42,2024-06-29 11:42,電話,スマート勤怠,仕様確認,対応環境,質問,2,中,中小,5,クローズ,5,完了,0,0,技術サポート,伊藤,5,対応ブラウザを確認したい,急ぎで確認したい
INQ-202406-00074,2024-06-03 13:40,2024-06-03 21:02,2024-06-04 09:02,メール,スマート勤怠,使い方,初期設定,質問,1,高,中小,5,クローズ,5,完了,0,0,技術サポート,高橋,4,CSVの取込手順が不明,マニュアルの場所を知りたい
INQ-202406-00075,2024-06-18 17:47,2024-06-19 01:32,2024-06-20 21:32,Web,スマート勤怠,請求,支払方法,質問,2,中,中小,4,解決,4,解決,0,0,品質保証,渡辺,5,支払方法の確認,丁寧に教えてほしい
INQ-202406-00076,2024-06-17 13:10,2024-06-17 19:02,2024-06-19 21:02,メール,クラウド経費,不具合,保存エラー,要望,2,中,大企業,4,解決,4,解決,1,0,一次窓口,佐藤,3,データが保存されない,次期アップデートに期待
INQ-202406-00077,2024-06-11 10:42,2024-06-11 17:32,2024-06-13 12:32,電話,スマート勤怠,要望,通知改善,クレーム,3,低,大企業,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,通知の細分化,何度も同じ案内をされた
INQ-202406-00078,2024-06-17 10:42,2024-06-17 13:18,2024-06-18 02:18,メール,スマート勤怠,不具合,表示崩れ,障害報告,3,低,中小,4,解決,4,解決,0,0,一次窓口,田中,4,データが保存されない,業務が止まっている
INQ-202406-00079,2024-06-11 16:39,2024-06-11 23:09,2024-06-14 09:09,電話,スマート勤怠,使い方,操作方法,要望,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,伊藤,3,CSVの取込手順が不明,次期アップデートに期待
INQ-202407-00080,2024-07-12 15:36,2024-07-12 17:49,2024-07-13 00:49,Web,スマート勤怠,使い方,データ移行,質問,1,高,中小,4,解決,4,解決,0,1,一次窓口,鈴木,4,権限設定について,丁寧に教えてほしい
INQ-202407-00081,2024-07-23 16:54,2024-07-24 00:31,2024-07-25 21:31,電話,スマート勤怠,使い方,データ移行,障害報告,2,中,大企業,5,クローズ,5,完了,0,0,品質保証,渡辺,5,CSVの取込手順が不明,業務が止まっている
INQ-202407-00082,2024-07-03 12:01,2024-07-03 16:06,2024-07-06 02:06,メール,スマート勤怠,仕様確認,API・連携,要望,2,中,大企業,5,クローズ,5,完了,0,1,技術サポート,高橋,4,対応ブラウザを確認したい,他社にはある機能
INQ-202407-00083,2024-07-05 14:46,2024-07-05 21:59,2024-07-08 13:59,メール,スマート勤怠,仕様確認,上限・制限,質問,2,中,大企業,4,解決,4,解決,0,0,技術サポート,伊藤,4,APIの有無について,マニュアルの場所を知りたい
INQ-202407-00084,2024-07-08 15:18,2024-07-08 22:05,2024-07-11 15:05,メール,クラウド経費,使い方,データ移行,質問,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,4,CSVの取込手順が不明,丁寧に教えてほしい
INQ-202407-00085,2024-07-12 11:01,2024-07-12 16:35,2024-07-13 15:35,メール,スマート勤怠,使い方,初期設定,要望,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,権限設定について,他社にはある機能
INQ-202407-00086,2024-07-26 10:45,2024-07-26 15:28,2024-07-29 04:28,チャット,スマート勤怠,使い方,初期設定,要望,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,佐藤,3,初期設定の方法を知りたい,他社にはある機能
INQ-202407-00087,2024-07-12 16:03,2024-07-12 20:22,2024-07-15 12:22,Web,スマート勤怠,使い方,権限設定,質問,2,中,中小,5,クローズ,5,完了,0,0,品質保証,渡辺,4,CSVの取込手順が不明,丁寧に教えてほしい
INQ-202407-00088,2024-07-24 12:27,2024-07-24 18:25,2024-07-27 03:25,メール,クラウド経費,不具合,保存エラー,質問,2,中,大企業,5,クローズ,5,完了,0,1,一次窓口,鈴木,3,画面が真っ白になる,マニュアルの場所を知りたい
INQ-202407-00089,2024-07-09 14:50,2024-07-09 18:39,2024-07-09 23:39,Web,スマート勤怠,仕様確認,API・連携,質問,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,2,APIの有無について,急ぎで確認したい
INQ-202407-00090,2024-07-12 12:36,2024-07-12 15:03,2024-07-13 23:03,電話,スマート勤怠,不具合,保存エラー,質問,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,佐藤,5,データが保存されない,急ぎで確認したい
INQ-202407-00091,2024-07-30 14:16,2024-07-30 22:01,2024-08-02 07:01,チャット,クラウド経費,使い方,権限設定,要望,2,中,個人事業主,5,クローズ,5,完了,0,1,一次窓口,田中,5,CSVの取込手順が不明,業務効率化のため必要
INQ-202407-00092,2024-07-12 15:35,2024-07-12 17:22,2024-07-13 11:22,メール,クラウド経費,請求,支払方法,要望,1,高,中小,4,解決,4,解決,0,0,一次窓口,田中,3,契約プランの変更,業務効率化のため必要
INQ-202407-00093,2024-07-19 12:51,2024-07-19 13:33,2024-07-20 06:33,Web,スマート勤怠,要望,機能追加,質問,3,低,個人事業主,5,クローズ,5,完了,0,0,一次窓口,佐藤,5,ダークモード対応の希望,急ぎで確認したい
INQ-202407-00094,2024-07-22 13:08,2024-07-22 15:48,2024-07-23 13:48,Web,クラウド経費,仕様確認,上限・制限,要望,2,中,大企業,5,クローズ,5,完了,0,1,技術サポート,高橋,2,対応ブラウザを確認したい,他社にはある機能
INQ-202407-00095,2024-07-31 17:57,2024-07-31 22:59,2024-08-01 18:59,電話,スマート勤怠,使い方,権限設定,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,田中,2,権限設定について,急ぎで確認したい
INQ-202407-00096,2024-07-30 14:52,2024-07-30 20:18,2024-08-02 18:18,Web,スマート勤怠,要望,通知改善,質問,2,中,大企業,5,クローズ,5,完了,0,1,技術サポート,高橋,3,ダークモード対応の希望,丁寧に教えてほしい
INQ-202407-00097,2024-07-26 16:25,2024-07-26 23:50,2024-07-28 20:50,メール,スマート勤怠,使い方,データ移行,質問,2,中,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,CSVの取込手順が不明,マニュアルの場所を知りたい
INQ-202407-00098,2024-07-18 10:15,2024-07-18 15:15,2024-07-20 08:15,メール,スマート勤怠,使い方,初期設定,質問,3,低,個人事業主,5,クローズ,5,完了,0,0,一次窓口,田中,3,権限設定について,急ぎで確認したい
INQ-202407-00099,2024-07-16 16:31,2024-07-16 19:02,2024-07-19 16:02,電話,クラウド経費,不具合,表示崩れ,質問,1,高,中小,5,クローズ,5,完了,0,0,一次窓口,鈴木,1,画面が真っ白になる,マニュアルの場所を知りたい
INQ-202407-00100,2024-07-12 15:23,2024-07-12 20:47,2024-07-13 12:47,電話,スマート勤怠,不具合,保存エラー,質問,2,中,大企業,5,クローズ,5,完了,0,0,技術サポート,伊藤,2,画面が真っ白になる,マニュアルの場所を知りたい
INQ-202408-00101,2024-08-12 15:12,2024-08-12 16:28,2024-08-14 10:28,メール,スマート勤怠,使い方,初期設定,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,CSVの取込手順が不明,マニュアルの場所を知りたい
INQ-202408-00102,2024-08-27 11:21,2024-08-27 18:13,2024-08-27 22:13,メール,スマート勤怠,不具合,保存エラー,質問,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,佐藤,4,データが保存されない,マニュアルの場所を知りたい
INQ-202408-00103,2024-08-08 15:37,2024-08-08 19:27,2024-08-10 12:27,メール,スマート勤怠,仕様確認,セキュリティ,質問,1,高,中小,4,解決,4,解決,0,0,品質保証,渡辺,4,対応ブラウザを確認したい,急ぎで確認したい
INQ-202408-00104,2024-08-20 17:55,2024-08-20 22:32,2024-08-22 18:32,チャット,クラウド経費,仕様確認,上限・制限,クレーム,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,田中,4,APIの有無について,何度も同じ案内をされた
INQ-202408-00105,2024-08-21 16:16,2024-08-21 20:31,2024-08-23 13:31,メール,スマート勤怠,使い方,権限設定,質問,2,中,個人事業主,5,クローズ,5,完了,0,0,一次窓口,田中,4,権限設定について,急ぎで確認したい
INQ-202408-00106,2024-08-19 15:24,2024-08-19 21:51,2024-08-22 11:51,Web,スマート勤怠,使い方,操作方法,質問,3,低,大企業,5,クローズ,5,完了,0,1,一次窓口,佐藤,3,CSVの取込手順が不明,マニュアルの場所を知りたい
INQ-202408-00107,2024-08-23 11:06,2024-08-23 12:21,2024-08-23 13:21,メール,クラウド経費,使い方,操作方法,クレーム,2,中,大企業,5,クローズ,5,完了,0,1,技術サポート,高橋,5,初期設定の方法を知りたい,説明が分かりにくい
INQ-202408-00108,2024-08-21 17:56,2024-08-22 00:19,2024-08-22 05:19,メール,クラウド経費,仕様確認,API・連携,質問,3,低,中小,4,解決,4,解決,0,0,一次窓口,鈴木,5,対応ブラウザを確認したい,丁寧に教えてほしい
INQ-202408-00109,2024-08-27 12:31,2024-08-27 18:04,2024-08-30 16:04,電話,クラウド経費,要望,UI改善,要望,2,中,大企業,4,解決,4,解決,0,1,一次窓口,佐藤,4,エクスポート機能がほしい,業務効率化のため必要
INQ-202408-00110,2024-08-15 11:51,2024-08-15 13:25,2024-08-17 17:25,電話,スマート勤怠,不具合,保存エラー,要望,2,中,大企業,5,クローズ,5,完了,0,0,一次窓口,鈴木,5,データが保存されない,次期アップデートに期待
INQ-202408-00111,2024-08-06 18:30,2024-08-06 21:39,2024-08-08 04:39,メール,スマート勤怠,使い方,操作方法,質問,2,中,大企業,4,解決,4,解決,0,0,技術サポート,高橋,1,CSVの取込手順が不明,丁寧に教えてほしい
